,name,endowment,geoPoint,state,city,type,campus,facultySize,numOfPostGrad,numOfUnderGrad,numOfStudents,arwuW,qsW,forbes,thesW,usnwrNu,usnwrW,wamoNu,city_areaTotal,city_areaLand,city_areaWater,city_populationTotal,city_populationDensity,city_popPlaceByArea,city_elevation
0,Rutgers University,1002000000,"(40.501666666666665, -74.44805555555556)",New_Jersey,"New_Brunswick,_New_Jersey",Public_university,"['dbr:Urban_area', 'dbr:Suburban']",-1,19000,48000,67000,96,301,141,123,72,60,61,14993441.170735,13537867.852726,1455573.318009,55181,4075.848826,14.993441170735107,18.8976
1,Carnegie Mellon University,1739000000,"(40.443322, -79.943583)",Pennsylvania,Pittsburgh,Private_university,,1423,7141,6362,-1,68,58,63,23,24,71,102,150996306.832589,143744340.123648,7251966.7089410005,304391,2139.0059579999997,150.9963068325888,-1.0
2,Harvard University,37600000000,"(42.37444444444444, -71.11694444444444)",Massachusetts,"Cambridge,_Massachusetts",Research_university,['dbr:Urban_area'],4671,14500,6700,21000,1,3,4,6,2,1,2,18466615.226696,16650000.0,1810000.0,109694,6586.786994,18.46661522669568,12.0
3,Cornell University,6030000000,"(42.45, -76.48)",New_York_(state),"Ithaca,_New_York",Private_university,['dbr:City'],34,7589,14315,21904,13,16,29,19,15,21,27,15700000.0,14100000.0,1553992.866202,30014,2071.0,15.7,123.1392
4,"University of Washington, Seattle",3076000000,"(47.655, -122.308)",Washington_(state),Seattle,Public_University,,5803,14114,31099,45213,15,59,75,25,56,11,14,369073305.72288,217200000.0,151954602.433413,608660,3150.979716,369.0733057228799,-1.0
5,Yale University,25572000000,"(41.31111111111111, -72.92666666666666)",,"New_Haven,_Connecticut",Private_university,['dbr:College_town'],4410,6859,5453,12312,11,15,6,12,3,14,13,52100000.0,48400000.0,3700000.0,130741,-1.0,52.1,17.9832
6,Purdue University,2398000000,"(40.424, -86.929)",Indiana,"West_Lafayette,_Indiana",Sea_grant_colleges,,3055,9912,29497,39409,63,92,127,113,60,72,45,19760000.0,19735709.400760002,25899.881103,29596,1499.6,19.76,187.0
7,University of Florida,1550000000,"(29.64833, -82.34944)",Florida,"Gainesville,_Florida",State_university_system,['dbr:Florida_Institute_for_Sustainable_Energy'],29596,16273,36246,52519,90,185,78,120,50,53,18,161600000.0,158800000.0,2800000.0,130128,789.3,161.6,46.0248
8,Boston University,1644000000,"(42.3496, -71.0997)",Massachusetts,Boston,Private_university,,3884,13650,16456,32551,75,89,79,64,39,32,157,232140000.0,125407224.302469,106730000.0,667137,5344.039976,232.14,42.9768
9,New York University,3576000000,"(40.73, -73.995)",,New_York_City,Private_university,['dbr:Urban_area'],4461,24289,24985,57245,29,46,77,32,36,34,174,1214445424.93655,789428376.030413,425017048.906138,8550405,10831.130803,1214.4454249365504,10.0
10,University of Southern California,4710000000,"(34.02051, -118.28563)",California,,USC_Fisher_Museum_of_Art,['dbr:Urban_area'],3945,23729,18740,42469,49,136,65,60,23,44,46,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0
11,Worcester Polytechnic Institute,435799999,"(42.27348888888889, -71.80735)",Massachusetts,"Worcester,_Massachusetts",Private_university,"['dbr:Suburb', 'dbr:Hectare', 'dbr:Residential']",478,1962,4177,-1,-1,-1,-1,-1,-1,-1,-1,99900000.0,97300000.0,2589988.110336,183016,1806.2245079999998,99.9,146.0
12,University of Oxford,4775000000,"(51.7611, -1.2534)",,Oxford,,,-1,10499,11603,22602,7,6,-1,-1,-1,-1,-1,45590000.0,-1.0,-1.0,-1,3270.0,45.59,-1.0
13,University of Michigan,10260000000,"(42.283, -83.735)",Michigan,"Ann_Arbor,_Michigan",Sea_grant_colleges,,6771,15230,28395,43625,23,23,44,21,27,17,21,74330000.0,72079369.110651,2250000.0,113934,1580.663627,74.33,256.0
14,Stanford University,22200000000,"(37.43, -122.17)",California,"Stanford,_California",Private_university,['dbr:Suburb'],2118,8897,6980,15877,2,2,1,3,4,4,1,7189806.994293,7072000.0,116549.464965,13809,-1.0,7.189806994292736,28.956
15,University of Pennsylvania,10700000000,"(39.95, -75.19)",Pennsylvania,Philadelphia,Private_university,"['dbr:New_Bolton_Center', 'dbr:University_City,_Philadelphia', 'dbr:Morris_Arboretum']",-1,11035,10406,24876,18,18,11,13,8,14,5,366742316.42357796,347300000.0,19400000.0,1567442,4492.4,366.7423164235777,11.8872
16,Columbia University,9639000000,"(40.8075, -73.96194444444444)",New_York_(state),New_York_City,Bwog,['dbr:Urban_area'],3806,19532,8410,2014,-1,-1,-1,-1,-1,-1,-1,1214445424.93655,789428376.030413,425017048.906138,8550405,10831.130803,1214.4454249365504,10.0
17,Duke University,7297000000,"(36.00111111111111, -78.93888888888888)",North_Carolina,"Durham,_North_Carolina",Private_university,['dbr:Suburban_area'],3428,8465,6485,14950,25,24,26,18,8,20,11,280400000.0,278100000.0,2400000.0,251893,905.8,280.4,123.0
18,Massachusetts Institute of Technology,13475000000,"(42.35982, -71.09211)",Massachusetts,"Cambridge,_Massachusetts",Private_university,,1021,6807,4512,11319,5,1,5,5,7,2,3,18466615.226696,16650000.0,1810000.0,109694,6586.786994,18.46661522669568,12.0
19,Rensselaer Polytechnic Institute,676500000,"(42.73, -73.6775)",New_York_(state),"Troy,_New_York",Private_university,['dbr:Suburban_area'],-1,1204,5557,7028,301,353,135,181,39,379,66,-1.0,-1.0,-1.0,50129,-1.0,-1.0,-1.0
20,Brown University,3300000000,"(41.8262, -71.4032)",Rhode_Island,"Providence,_Rhode_Island",Private_university,['dbr:Acre'],153,2230,6320,9073,90,49,8,51,14,99,49,53353755.072922,47914780.041216,5438975.031706,178042,3736.001706,53.3537550729216,22.86
21,"University of California, Los Angeles",3490000000,"(34.07222222222222, -118.44409722222223)",California,"Westwood,_Los_Angeles",Fowler_Museum_at_UCLA,['dbr:Urban_area'],4016,12323,29585,43301,12,31,46,14,24,8,8,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0
22,University of Wisconsin-Madison,2465000000,"(43.075, -89.417222)",Wisconsin,"Madison,_Wisconsin",Public_university,['dbr:Robert_M._La_Follette_School_of_Public_Affairs'],2220,11904,29302,43193,28,53,69,45,44,26,28,243536582.014894,198885186.992701,44650000.0,233209,1172.592255,243.5365820148941,226.0
23,Princeton University,22723000000,"(40.343, -74.657)",New_Jersey,"Princeton,_New_Jersey",Private_university,['dbr:Suburb'],1172,2697,5391,8088,6,11,3,7,1,13,15,47559951.6701,46444000.0,1113694.887444,28572,-1.0,47.55995167009996,-1.0
